date,KO US EQUITY,PEP US EQUITY
2025-01-02,61.84,150.21
2025-01-03,61.75,149.65
2025-01-06,60.81,146.27
2025-01-07,60.84,145.4
2025-01-08,61.71,146.54
2025-01-10,61.07,142.64
2025-01-13,61.65,144.5
2025-01-14,62.04,144.95
2025-01-15,61.77,144.78
2025-01-16,62.25,146.54
2025-01-17,62.71,148.25
2025-01-21,62.42,148.55
2025-01-22,61.78,148.09
2025-01-23,61.53,148.62
2025-01-24,61.92,149.12
2025-01-27,63.87,154.61
2025-01-28,62.36,150.25
2025-01-29,62.83,150.37
2025-01-30,64.05,151.9
2025-01-31,63.48,150.69
2025-02-03,63.35,150.27
2025-02-04,62.67,143.49
2025-02-05,63.12,145.66
2025-02-06,63.36,145.35
2025-02-07,63.84,144.58
2025-02-10,64.55,144.35
2025-02-11,67.6,145.64
2025-02-12,68.71,143.99
2025-02-13,69.5,144.58
2025-02-14,68.87,143.39
2025-02-18,69.05,144.1
2025-02-19,70.07,145.81
2025-02-20,70.04,149.1
2025-02-21,71.35,153.5
2025-02-24,70.59,153.85
2025-02-25,71.49,156.42
2025-02-26,70.8,151.51
2025-02-27,70.87,152.02
2025-02-28,71.21,153.47
2025-03-03,72.32,155.99
2025-03-04,70.19,154.19
2025-03-05,70.08,153.88
2025-03-06,70.46,154.61
2025-03-07,71.43,154.44
2025-03-10,71.45,156.25
2025-03-11,71.04,152.33
2025-03-12,69.94,148.17
2025-03-13,69.62,148.34
2025-03-14,69.16,148.59
2025-03-17,70.12,151.34
2025-03-18,69.38,148.99
2025-03-19,69.28,148.11
2025-03-20,69.71,147.15
2025-03-21,68.67,145.45
2025-03-24,68.95,146.45
2025-03-25,68.81,145.54
2025-03-26,70.02,148.64
2025-03-27,70.74,149.67
2025-03-28,70.37,149.27
2025-03-31,71.62,149.94
2025-04-01,71.87,149.67
2025-04-02,71.33,149.12
2025-04-03,73.18,151.37
2025-04-04,69.93,146.61
2025-04-07,68.37,143.19
2025-04-08,68.42,140.3
2025-04-09,69.95,145.59
2025-04-10,70.76,144.14
2025-04-11,71.43,144.43
2025-04-14,72.45,146.75
2025-04-15,71.86,142.84
2025-04-16,71.68,140.09
2025-04-17,73.0,142.84
2025-04-21,72.77,141.73
2025-04-22,73.9,143.46
2025-04-23,73.3,142.26
2025-04-24,72.52,135.31
2025-04-25,71.91,133.38
2025-04-28,71.79,133.76
2025-04-29,72.35,134.31
2025-04-30,72.55,135.58
2025-05-01,71.29,133.55
2025-05-02,71.65,133.75
2025-05-05,71.7,131.99
2025-05-06,71.72,130.74
2025-05-07,72.4,131.915
2025-05-08,71.17,131.43
2025-05-09,70.52,130.44
2025-05-12,69.53,131.68
2025-05-13,68.96,130.31
2025-05-14,69.16,128.45
2025-05-15,71.61,131.5
2025-05-16,72.0,131.98
2025-05-19,71.93,131.79
2025-05-20,71.69,131.8
2025-05-21,71.85,130.15
2025-05-22,71.14,130.12
2025-05-23,71.77,129.34
2025-05-27,71.78,131.37
2025-05-28,71.15,130.67
2025-05-29,71.49,131.92
2025-05-30,72.1,131.45
2025-06-02,72.0,130.91
2025-06-03,71.16,131.85
2025-06-04,71.37,131.74
2025-06-05,70.91,131.11
2025-06-06,71.35,130.03
2025-06-09,71.77,129.96
2025-06-10,72.35,131.83
2025-06-11,72.07,129.9
2025-06-12,72.24,132.3
2025-06-13,71.02,130.85
2025-06-16,70.52,131.41
2025-06-17,69.62,129.29
2025-06-18,69.21,129.07
2025-06-20,68.84,129.07
2025-06-23,69.74,129.09
2025-06-24,70.21,131.05
2025-06-25,69.63,128.02
2025-06-26,69.47,128.22
2025-06-27,70.33,131.04
2025-06-30,70.75,132.04
2025-07-01,71.67,135.26
2025-07-02,70.91,136.48
2025-07-03,71.35,135.38
2025-07-07,71.01,134.45
2025-07-08,70.24,135.04
2025-07-09,69.48,134.48
2025-07-10,69.77,136.08
2025-07-11,69.87,135.26
2025-07-14,69.47,135.57
2025-07-15,69.36,133.81
2025-07-16,69.27,135.35
2025-07-17,70.59,145.44
2025-07-18,69.85,143.24
2025-07-21,70.07,141.7
2025-07-22,69.66,146.04
2025-07-23,69.16,145.66
2025-07-24,69.1,144.51
2025-07-25,69.17,143.45
2025-07-28,68.09,141.57
2025-07-29,69.38,143.89
2025-07-30,68.75,142.86
2025-07-31,67.89,137.92
2025-08-01,68.86,139.28
2025-08-04,68.96,139.56
2025-08-05,69.05,139.45
2025-08-06,69.51,140.8
2025-08-07,70.43,143.92
2025-08-08,70.34,145.21
2025-08-11,70.75,144.87
2025-08-12,70.71,146.87
2025-08-13,70.46,149.35
2025-08-14,69.55,148.62
2025-08-15,69.92,150.4
2025-08-18,69.13,149.55
2025-08-19,70.13,152.16
2025-08-20,70.7,150.73
2025-08-21,70.66,148.98
2025-08-22,70.13,149.64
2025-08-25,68.93,148.2
2025-08-26,68.73,147.0
2025-08-27,68.83,147.64
2025-08-28,68.36,146.98
2025-08-29,68.99,148.65
2025-09-02,69.06,150.28
2025-09-03,68.99,148.64
2025-09-04,68.25,146.89
2025-09-05,67.96,146.39
2025-09-08,67.43,141.71
2025-09-09,67.86,143.1
2025-09-10,67.82,142.66
2025-09-11,67.62,144.23
2025-09-12,67.01,143.53
2025-09-15,66.21,140.64
2025-09-16,66.24,140.03
2025-09-17,67.04,141.23
2025-09-18,66.46,140.73
2025-09-19,66.43,141.76
2025-09-22,66.21,141.03
2025-09-23,66.71,141.9
2025-09-24,66.45,142.17
2025-09-25,65.98,139.92
2025-09-26,65.67,140.44
2025-09-29,66.04,140.17
2025-09-30,66.32,140.44
2025-10-01,66.78,143.14
2025-10-02,66.1,142.31
2025-10-03,66.65,141.98
2025-10-06,66.1,139.7
2025-10-07,66.79,140.79
2025-10-08,66.12,138.84
2025-10-09,66.37,144.71
2025-10-10,67.04,150.08
2025-10-13,66.8,148.89
2025-10-14,67.51,151.54
2025-10-15,67.08,151.16
2025-10-16,67.59,152.67
2025-10-17,68.44,153.71
2025-10-20,68.44,153.64
2025-10-21,71.22,153.18
2025-10-22,70.81,153.03
2025-10-23,69.94,151.51
2025-10-24,69.71,151.55
2025-10-27,70.06,152.63
2025-10-28,70.16,150.12
2025-10-29,68.35,146.16
2025-10-30,68.98,147.55
2025-10-31,68.9,146.09
2025-11-03,67.97,143.6
2025-11-04,68.66,142.9
2025-11-05,68.51,142.86
2025-11-06,69.06,141.58
2025-11-07,70.55,142.95
2025-11-10,70.52,142.62
2025-11-11,71.61,145.08
2025-11-12,71.51,144.39
2025-11-13,71.07,145.02
2025-11-14,71.16,145.85
2025-11-17,70.68,147.83
2025-11-18,71.22,148.77
2025-11-19,71.11,147.11
2025-11-20,71.21,146.1
